PPAP Number,PPAP Req'd by Customer,Current Status,PPAP/IMDS from,FK_Customer_ID,Country,Rev,IMDS number,PPAP docs,Level,PPAP samples status,Reason of Submission,Sent to Customer,PSW returned from Cust Signed,Origin from report,Comments,INSPECTION REPORT NUMBER
PP00027-19,2023-06-05,PSW Pending Approve,VEN238,5578,Europe,,1242596483,,2,,Initial Submission,2023-07-25,,,,#N/D
PP00041-01,2023-06-14,PSW Pending Approve,VEN329,4325,Korea,,1242598610,,2,,Initial Submission,2023-07-26,,,,
PP00041-02,2023-06-14,PSW Pending Approve,VEN329,4326,Korea,,1242600683,,2,,Initial Submission,2023-07-26,,,,
PP00042-0001,2023-06-20,Approved 2023,VEN329,5137,Mexico,4,1242955812,,2,,Initial Submission,2023-07-31,08/12/2023,,,
PP00043-02,2023-07-03,PSW Pending Approve,VEN329,5463,France,16,1261839281 / 2,,2,,Initial Submission,2023-11-14,,,,
PP00043-15,2023-07-03,PSW Pending Approve,VEN329,5464,France,16,1261838502 / 2,,2,,Initial Submission,2023-11-14,,,,
PP00043-17,2023-07-03,PSW Pending Approve,VEN329,5465,France,16,1261838612 / 2,,2,,Initial Submission,2023-11-14,,,,
PP00043-23,2023-07-03,PSW Pending Approve,VEN329,5466,France,19,1262271639,,2,,Initial Submission,2023-11-14,,,,
PP00043-30,2023-07-03,PSW Pending Approve,VEN329,5467,France,17,1214811503,,2,,Initial Submission,2023-11-14,,,,
PP00034-06,2023-07-03,PSW Pending Approve,VEN238,4806,Mexico,,1243704290,,4,,Initial Submission,2023-08-10,,,,
PP00034-07,2023-07-03,PSW Pending Approve,VEN329,4764,Mexico,,1243709196,,4,,Initial Submission,2023-08-10,,,,
PP00034-08,2023-07-03,PSW Pending Approve,VEN238,4761,Mexico,,1243710949,,4,,Initial Submission,2023-08-10,,,,#N/D
PP00034-09,2023-07-03,PSW Pending Approve,VEN329,4804,Mexico,,1247793125,,4,,Initial Submission,2023-08-10,,,,#N/D
PP00024-21,2023-07-05,PSW Pending Approve,VEN238,4497,Europe,,949767775 / 1,,1,,Annual Validation,2023-07-26,,,,#N/D
PP00026-10,2023-07-11,Approved 2023,VEN329,5613,Mexico,,1245240801,,4,,Initial Submission,2023-08-11,18/08/2023,,,PR2025001
PP00026-11,2023-07-11,Approved 2023,VEN329,5615,Mexico,,1245243969,,4,,Initial Submission,2023-08-11,18/08/2023,,,PR2025001
PP00044-01,2023-07-14,PSW Pending Approve,VEN038,4348,Germany,,1239431468,,2,,Initial Submission,2023-07-14,,,,#N/D
PP00028-22,2023-07-17,Approved 2023,VEN329,5335,North America,,1202139545,,3,,Initial Submission,2023-08-11,28/08/2023,,,
PP00034-10,2023-07-17,Approved 2025,VEN329,4800,Mexico,18,1247857307 / 1,,4,,Initial Submission,2023-08-11,05/05/2025,,,#N/D
PP00030-03,2023-07-19,Approved 2024,VEN238,4284,Mexico,34,1253003769,,2,,Initial Submission,2023-08-30,24/05/2024,,,
PP00030-04,2023-07-19,Approved 2024,VEN238,4275,Mexico,34,1253006214,,2,,Initial Submission,2023-08-30,24/05/2024,,,
PP00030-06,2023-07-19,Approved 2024,VEN238,4278,Mexico,34,1247862284,,2,,Initial Submission,2023-08-30,24/05/2024,,,
PP00030-07,2023-07-19,Approved 2024,VEN238,4281,Mexico,34,1247863112,,2,,Initial Submission,2023-08-30,24/05/2024,,,
PP00030-05,2023-07-19,PSW Pending Approve,VEN238,4277,Mexico,,1253010950,,2,,Initial Submission,2023-08-30,,,,
PP00042-0002,2023-07-20,Approved 2023,VEN238,3803,Mexico,,1256732125,,4,,Initial Submission,2023-09-18,08/12/2023,,,
PP00026-13,2023-07-25,Approved 2023,VEN329,5617,Mexico,,1256746275,,2,,Initial Submission,2023-09-12,,,,#N/D
PP00023-0002,2023-07-27,Approved 2023,VEN038,5239,Germany,,1248834931,,2,,Initial Submission,2023-08-16,29/08/2023,,,
PP00027-07,2023-08-01,PSW Pending Approve,VEN238,4573,Europe,23,1188110244,,2,,Initial Submission,2023-09-13,,,,
PP00028-23,2023-08-05,Approved 2023,VEN329,5337,North America,,1139569800,,1,,Annual Validation,2023-09-14,21/12/2023,,,#N/D
PP00026-12,2023-08-07,PSW Pending Approve,VEN329,5616,Mexico,55,1247316215,,4,,Initial Submission,2023-10-04,,,,
PP00024-22,2023-08-08,PSW Pending Approve,VEN238,5496,Europe,,1257334022,,2,,Initial Submission,2023-09-13,,,,
PP00045-01,2023-08-09,PSW Pending Approve,VEN238,5167,Mexico,,1253019517,,2,,Initial Submission,2023-09-04,,,,#N/D
PP00045-02,2023-08-09,PSW Pending Approve,VEN238,5168,Mexico,,1253390788,,2,,Initial Submission,2023-09-04,,,,#N/D
PP00027-14,2023-08-11,Approved 2023,VEN238,4580,Europe,15,1189553513,,2,,Initial Submission,2023-09-13,14/09/2023,,,
PP00046-01,2023-08-11,PSW Pending Approve,VEN025,4664,,,,,4,,Initial Submission,2023-10-25,,,,
PP00046-02,2023-08-11,PSW Pending Approve,VEN025,4665,,,,,4,,Initial Submission,2023-10-25,,,,
PP00026-14,2023-08-14,PSW Pending Approve,VEN025,5618,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-15,2023-08-14,PSW Pending Approve,VEN025,5620,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-16,2023-08-14,PSW Pending Approve,VEN025,5621,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-17,2023-08-14,PSW Pending Approve,VEN025,5622,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-18,2023-08-14,PSW Pending Approve,VEN025,5623,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-19,2023-08-14,PSW Pending Approve,VEN025,5624,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-20,2023-08-14,PSW Pending Approve,VEN025,5625,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-21,2023-08-14,PSW Pending Approve,VEN025,5626,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-22,2023-08-14,PSW Pending Approve,VEN025,5627,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-23,2023-08-14,PSW Pending Approve,VEN025,5628,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-24,2023-08-14,PSW Pending Approve,VEN025,5629,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-25,2023-08-14,PSW Pending Approve,VEN025,5630,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-26,2023-08-14,PSW Pending Approve,VEN025,5631,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00026-27,2023-08-14,PSW Pending Approve,VEN025,5632,,,,,4,,Annual Validation,2023-11-07,,,,#N/D
PP00028-24,2023-08-15,Approved 2023,VEN238,5339,North America,,1256829549,,4,,Annual Validation,2023-09-12,22/09/2023,,,#N/D
PP00028-25,2023-08-15,Approved 2023,VEN238,5340,North America,35,1257752602,,4,,Initial Submission,2023-10-05,06/10/2023,,,#N/D
PP00028-26,2023-08-27,Approved 2025,VEN238,5342,North America,9,1149845642,,1,,Annual Validation,2023-09-27,03/11/2025,,,#N/D
PP00034-11,2023-09-06,Approved 2023,VEN329,4801,Mexico,,1265476774,,4,,Initial Submission,2023-10-19,19/10/2023,,,#N/D
PP00034-12,2023-09-06,Approved 2023,VEN329,4800,Mexico,,1265478553,,4,,Initial Submission,2023-10-19,19/10/2023,,,#N/D
PP00034-13,2023-09-06,Approved 2023,VEN329,4786,Mexico,,1265479368,,4,,Initial Submission,2023-10-19,19/10/2023,,,#N/D
PP00034-14,2023-09-06,Approved 2023,VEN329,4771,Mexico,,1265951151,,4,,Initial Submission,2023-10-19,19/10/2023,,,#N/D
PP00034-15,2023-09-06,Approved 2023,VEN329,4797,Mexico,,1265951638,,4,,Initial Submission,2023-10-19,19/10/2023,,,#N/D
PP00034-16,2023-09-06,Approved 2023,VEN329,4787,Mexico,,1265952189,,4,,Initial Submission,2023-10-19,19/10/2023,,,#N/D
PP00034-17,2023-09-06,Approved 2023,VEN329,5171,Mexico,,1265952282,,4,,Initial Submission,2023-10-19,19/10/2023,,,#N/D
PP00028-38,2023-09-07,Approved 2023,VEN238,5360,North America,9,1160610621,,1,,Annual Validation,2023-11-03,06/11/2023,,,#N/D
PP00028-39,2023-09-07,Approved 2023,VEN238,5363,North America,9,1160623765,,1,,Annual Validation,2023-11-03,06/11/2023,,,#N/D
PP00028-35,2023-09-07,PSW Pending Approve,VEN025,4012,North America,,,,1,,Annual Validation,2023-10-19,,,,#N/D
PP00028-27,2023-09-13,Approved 2023,VEN238,5345,North America,9,1149845539,,1,,Annual Validation,2023-10-25,26/10/2023,,,#N/D
PP00028-28,2023-09-13,Approved 2023,VEN238,5348,North America,9,1149845452,,1,,Annual Validation,2023-10-31,06/11/2023,,,#N/D
PP00042-0007,2023-09-15,Approved 2023,VEN329,3804,Mexico,,1264236755,,4,,Initial Submission,2023-10-06,16/10/2023,,,#N/D
PP00031-07,2023-09-19,Approved 2024,VEN238,5166,Europe,23,1272782894 / 2,,4,,Initial Submission,2023-11-03,25/01/2024,,,#N/D
PP00031-02,2023-09-19,Approved 2024,VEN238,4563,Europe,23,1272489899 / 2,,4,,Initial Submission,2023-11-03,15/03/2024,,,0
PP00031-03,2023-09-19,Approved 2024,VEN238,4564,Europe,23,1272490406 / 2,,4,,Initial Submission,2023-11-03,15/03/2024,,,#N/D
PP00031-04,2023-09-19,Approved 2024,VEN238,4565,Europe,23,1272771037 / 2,,4,,Initial Submission,2023-11-03,15/03/2024,,,#N/D
PP00031-05,2023-09-19,Approved 2024,VEN238,5165,Europe,23,1272776427 / 2,,4,,Initial Submission,2023-11-03,15/03/2024,,,#N/D
PP00031-06,2023-09-19,Approved 2024,VEN238,4567,Europe,23,1272778364 / 2,,4,,Initial Submission,2023-11-03,15/03/2024,,,#N/D
PP00031-08,2023-09-19,Approved 2024,VEN238,4562,Europe,23,1272490285 / 2,,4,,Initial Submission,2023-11-03,08/05/2024,,,PR2025003
PP00028-29,2023-09-20,Approved 2025,VEN238,5350,North America,37,,,1,,Annual Validation,2023-11-15,03/11/2025,,,#N/D
PP00028-30,2023-09-21,Approved 2023,VEN238,45,North America,,,,1,,Annual Validation,2023-11-15,21/12/2023,,,#N/D
PP00012-01,2023-09-21,PSW Pending Approve,VEN238,4045,Mexico,34,1076153443 / 2,,4,,Annual Validation,2023-11-21,,,,#N/D
PP00063-0001,2023-09-26,Approved 2023,VEN329,5161,Europe,4,1277026340 / 1,,4,,Initial Submission,2023-11-17,06/12/2023,,,#N/D
PP00028-31,2023-09-28,Approved 2023,VEN238,46,North America,35,,,1,,Annual Validation,2023-09-29,05/10/2023,,,#N/D
PP00025-01,2023-09-28,Approved 2023,VEN238,70,Mexico,39,1285136462,,1,,Annual Validation,2023-11-22,14/12/2023,,,#N/D
PP00025-02,2023-09-28,Approved 2023,VEN238,73,Mexico,6,1285137916,,1,,Annual Validation,2023-11-22,14/12/2023,,,0
PP00025-03,2023-09-28,Approved 2023,VEN238,72,Mexico,6,1285142630,,4,,Initial Submission,2023-11-22,14/12/2023,,,0
PP00025-04,2023-09-28,Approved 2023,VEN238,74,Mexico,39,1285143563,,1,,Annual Validation,2023-11-22,14/12/2023,,,PR2025004
PP00034-18,2023-10-03,Approved 2023,VEN329,4766,Mexico,,1268459412,,4,,Initial Submission,2023-10-19,19/10/2023,,,#N/D
PP00028-32,2023-10-06,PSW Pending Approve,VEN238,37,North America,,,,1,,Annual Validation,2023-10-09,,,,PR2025008
PP00028-33,2023-10-09,PSW Pending Approve,VEN238,5351,North America,39,1171884614 / 2,,1,,Annual Validation,2023-10-10,,,,#N/D
PP00028-34,2023-10-10,PSW Pending Approve,VEN329,5353,North America,18,1172779204 / 1,,1,,Annual Validation,2023-10-10,,,,#N/D
PP00036-07,2023-10-16,PSW Pending Approve,VEN238,5179,Mexico,4,1278418736,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00028-01,2023-10-17,Approved 2023,VEN238,48,North America,9,1193337616,,4,,Initial Submission,2023-10-25,06/11/2023,,,#N/D
PP00036-08,2023-10-19,PSW Pending Approve,VEN238,5180,Mexico,4,1278838777,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-09,2023-10-19,PSW Pending Approve,VEN238,5181,Mexico,4,1278900502,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-10,2023-10-19,PSW Pending Approve,VEN238,5182,Mexico,4,1278905318,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00049-01,2023-10-25,Approved 2023,VEN329,5501,Europe,4,1280190446 / 1,,4,,Initial Submission,2023-11-29,05/12/2023,,,#N/D
PP00034-21,2023-10-25,Approved 2024,VEN329,4780,Mexico,17,1285148525,,4,approved,Initial Submission,2024-01-05,08/01/2024,,,#N/D
PP00034-20,2023-10-25,Approved 2024,VEN329,4798,Mexico,19,1284823804,,4,,Initial Submission,2023-12-14,11/06/2024,,,#N/D
PP00034-19,2023-10-25,PSW Pending Approve,VEN329,4767,Mexico,,1272787771,,4,,Initial Submission,2023-11-06,,,,0
PP00042-0009,2023-10-26,Approved 2023,VEN329,3793,Mexico,,1281399800,,4,,Initial Submission,2023-12-01,08/12/2023,,,#N/D
PP00028-36,2023-10-30,PSW Pending Approve,VEN238,5354,North America,,,,1,,Annual Validation,2023-11-15,,,,#N/D
PP00028-37,2023-10-30,PSW Pending Approve,VEN238,5357,North America,37,1173684082,,1,,Annual Validation,2023-11-16,,,,0
PP00036-11,2023-10-30,PSW Pending Approve,VEN238,5183,Mexico,4,1286191261,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-12,2023-10-30,PSW Pending Approve,VEN238,5184,Mexico,4,1286196709,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-13,2023-10-30,PSW Pending Approve,VEN238,5185,Mexico,4,1286708271,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-14,2023-10-30,PSW Pending Approve,VEN238,5186,Mexico,4,1286709314,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-15,2023-10-30,PSW Pending Approve,VEN238,5187,Mexico,4,1286710225,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-16,2023-10-30,PSW Pending Approve,VEN238,5188,Mexico,4,1285187444,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-17,2023-10-30,PSW Pending Approve,VEN238,5189,Mexico,4,1286189209,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-18,2023-10-30,PSW Pending Approve,VEN238,5190,Mexico,4,1286189984,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-19,2023-10-30,PSW Pending Approve,VEN238,5191,Mexico,4,1286190651,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-20,2023-10-30,PSW Pending Approve,VEN238,5192,Mexico,4,1286191648,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00036-21,2023-10-30,PSW Pending Approve,VEN238,5193,Mexico,4,1286192312,,4,,Initial Submission,2023-12-19,,,,#N/D
PP00041-03,2023-10-30,PSW Pending Approve,VEN329,4327,Korea,19,1287010958,,4,,Initial Submission,2023-12-21,,,,#N/D
PP00047-01,2023-11-03,PSW Pending Approve,VEN025,5508,Mexico,,,,4,,Initial Submission,2023-11-21,,,,#N/D
PP00047-02,2023-11-03,PSW Pending Approve,VEN025,5509,Mexico,,,,1,,Annual Validation,2023-11-21,,,,#N/D
PP00047-03,2023-11-03,PSW Pending Approve,VEN025,5510,Mexico,,,,1,,Annual Validation,2023-11-21,,,,#N/D
PP00042-0011,2023-11-08,Approved 2023,VEN329,3796,Mexico,8,1281714855,,4,,Initial Submission,2023-12-04,08/12/2023,,,#N/D
PP00042-0010,2023-11-08,Approved 2023,VEN329,3798,Mexico,8,1281712059,,4,,Initial Submission,2023-12-05,08/12/2023,,,#N/D
PP00028-40,2023-11-08,PSW Pending Approve,VEN238,38,North America,37,1132173549,,1,,Annual Validation,2023-11-16,,,,0
PP00028-41,2023-11-08,PSW Pending Approve,VEN329,51,North America,19,1132192015,,1,,Annual Validation,2023-11-16,,,,0
PP00028-42,2023-11-13,PSW Pending Approve,VEN238,5366,North America,37,1173684862,,1,,Annual Validation,2023-11-16,,,,#N/D
PP00028-43,2023-11-13,PSW Pending Approve,VEN238,5368,North America,10,1173453435,,1,,Annual Validation,2023-11-16,,,,#N/D
PP00028-44,2023-11-13,PSW Pending Approve,VEN238,5369,North America,10,1173454988,,1,,Annual Validation,2023-11-16,,,,#N/D
PP00028-45,2023-11-13,PSW Pending Approve,VEN238,5372,North America,37,1173683423,,1,,Annual Validation,2023-11-16,,,,#N/D
PP00027-21,2023-11-14,Approved 2024,VEN238,5579,Europe,17,1287011679,,4,,Initial Submission,2024-01-05,08/01/2024,,,#N/D
PP00034-22,2023-11-21,Approved 2024,VEN025,4755,Mexico,,770301744,,4,,Initial Submission,2024-01-08,24/01/2024,,,#N/D
PP00028-46,2023-11-21,PSW Pending Approve,VEN329,5373,North America,57,1180241318,,1,n/a,Annual Validation,2024-01-08,,,,#N/D
PP00030-08,2023-11-22,Approved 2024,VEN238,5228,Mexico,39,1289765129,,4,,Initial Submission,2024-01-10,02/05/2024,,,#N/D
PP00027-23,2023-11-22,Approved 2024,VEN238,4581,Europe,19,1289710429,,4,,Initial Submission,2024-01-10,05/09/2024,,,#N/D
PP00027-24,2023-11-22,Approved 2025,VEN238,4582,Europe,17,1289744729,,4,,Initial Submission,2024-01-10,27/01/2025,,,#N/D
PP00050-03,2023-12-05,Approved 2024,VEN329,4490,Europe,7,1287011745 / 1,,4,,Initial Submission,2023-12-21,17/01/2024,,,#N/D
PP00050-04,2023-12-05,Approved 2024,VEN329,4492,Europe,7,1287011765 / 1,,4,,Initial Submission,2023-12-21,17/01/2024,,,#N/D
PP00034-23,2023-12-05,Approved 2024,VEN329,4799,Mexico,19,1294598668,,4,approved,Initial Submission,2024-01-25,29/01/2024,,,#N/D
PP00034-24,2023-12-05,Approved 2024,VEN329,4770,Mexico,,1293953227,,4,,Initial Submission,2024-01-25,29/02/2024,,,0
PP00050-01,2023-12-05,PSW Pending Approve,VEN329,4491,Europe,7,1287011450 / 1,,4,,Initial Submission,2023-12-21,,,,#N/D
PP00050-02,2023-12-05,PSW Pending Approve,VEN329,4489,Europe,7,1287011655 / 1,,4,,Initial Submission,2023-12-21,,,,#N/D
PP00026-28,2023-12-07,Approved 2024,VEN329,5633,Mexico,57,1294605362,,4,,Initial Submission,2024-01-29,30/01/2024,,,#N/D
PP00026-29,2023-12-07,Approved 2024,VEN329,5634,Mexico,57,1294318471,,4,,Initial Submission,2024-01-29,30/01/2024,,,#N/D
PP00026-30,2023-12-08,Approved 2024,VEN329,5635,Mexico,17,1296427840/2,,4,approved,Initial Submission,2024-02-01,05/02/2024,,,#N/D
PP00026-31,2023-12-08,Approved 2024,VEN329,5636,Mexico,17,1296432194/2,,4,approved,Initial Submission,2024-02-01,05/02/2024,,,#N/D
PP00026-32,2023-12-08,Approved 2024,VEN329,5637,Mexico,17,1296433053/2,,4,approved,Initial Submission,2024-02-01,05/02/2024,,,0
PP00047-04,2023-12-08,PSW Pending Approve,VEN025,5511,Mexico,,,,4,n/a,Initial Submission,2024-01-19,,,,#N/D
PP00028-47,2023-12-13,Approved 2024,VEN238,5375,North America,37,1292705003,,4,,Initial Submission,2024-01-18,22/01/2024,,,#N/D
PP00026-33,2023-12-14,Approved 2024,VEN329,5638,Mexico,17,1296077656/2,,4,n/a,Initial Submission,2024-01-31,05/02/2024,,,#N/D
PP00026-34,2023-12-14,Approved 2024,VEN329,5639,Mexico,57,1296080151/2,,4,n/a,Initial Submission,2024-01-31,05/02/2024,,,#N/D
PP00026-35,2023-12-14,Approved 2024,VEN329,5640,Mexico,17,1296081665/2,,4,n/a,Initial Submission,2024-01-31,05/02/2024,,,#N/D
PP00028-48,2023-12-18,Approved 2023,VEN329,54,North America,56,1230815655,,4,,Initial Submission,2023-12-18,13/02/2024,,,PR2025016
PP00024-01,2023-12-20,PSW Pending Approve,VEN238,4498,Europe,14,1173706697,,1,n/a,Annual validation,2024-01-30,,,,#N/D
PP00030-09,2023-12-21,Approved 2024,VEN025,5230,Mexico,,,,,,,2024-01-19,30/01/2024,,,#N/D
PP00034-26,2023-12-28,PSW Pending Approve,VEN025,4747,Mexico,V0,835915899,,4,n/a,Initial Submission,2024-02-14,,,,#N/D
PP00042-0021,2024-01-04,Approved 2024,VEN329,3788,Mexico,6,1299340101,,4,requested,Initial Submission,2024-02-09,11/04/2024,,,#N/D
PP00042-0006,2024-01-04,Approved 2024,VEN329,3794,Mexico,6,1251041689,,4,approved,Initial Submission,2024-02-09,18/04/2024,,,#N/D
PP00042-0018,2024-01-04,Approved 2024,VEN329,5144,Mexico,6,1289763405,,4,approved,Initial Submission,2024-02-09,18/04/2024,,,#N/D
PP00042-0003,2024-01-04,Approved 2024,VEN329,5138,Mexico,6,1250962102,,4,approved,Initial Submission,2024-02-09,28/05/2024,,,#N/D
PP00042-0012,2024-01-04,Approved 2024,VEN329,5139,Mexico,6,1289729958,,4,approved,Initial Submission,2024-02-09,28/05/2024,,,#N/D
PP00042-0015,2024-01-04,Approved 2024,VEN329,5142,Mexico,6,1289761217,,4,approved,Initial Submission,2024-02-09,28/05/2024,,,#N/D
PP00042-0016,2024-01-04,Approved 2024,VEN329,3791,Mexico,6,1289761758,,4,approved,Initial Submission,2024-02-09,28/05/2024,,,#N/D
PP00042-0004,2024-01-04,Approved 2024,VEN329,3799,Mexico,6,1250976542,,4,approved,Initial Submission,2024-02-09,29/05/2024,,,#N/D
PP00042-0005,2024-01-04,Approved 2024,VEN329,3800,Mexico,6,1250980800,,4,approved,Initial Submission,2024-02-09,29/05/2024,,,#N/D
PP00042-0019,2024-01-04,Approved 2024,VEN329,3801,Mexico,6,1289763939,,4,approved,Initial Submission,2024-02-09,29/05/2024,,,#N/D
PP00028-52,2024-01-11,Approved 2024,VEN238,5378,North America,40,1153182014,,1,n/a,Annual Validation,2024-02-14,24/07/2024,,,#N/D
PP00028-02,2024-01-11,Approved 2024,VEN329,53,North America,62,1194209127,,1,n/a,Annual Validation,2024-01-30,13/09/2024,,,
PP00024-23,2024-01-11,PSW Pending Approve,VEN238,4496,Europe,14,949767217,,1,n/a,Annual validation,2024-02-14,,,,#N/D
PP00028-50,2024-01-11,PSW Pending Approve,VEN238,50,North America,12,1134426525,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-51,2024-01-11,PSW Pending Approve,VEN329,5377,North America,20,1171172004,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-53,2024-01-11,PSW Pending Approve,VEN238,5380,North America,12,1165241008,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-54,2024-01-11,PSW Pending Approve,VEN238,5381,North America,10,1173445164,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-55,2024-01-11,PSW Pending Approve,VEN238,5383,North America,10,1153164534,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-32,2024-01-12,Approved 2024,VEN238,37,North America,12,1138118931 / 1,,1,n/a,Annual Validation,2024-01-30,06/03/2024,,,PR2025008
PP00028-56,2024-01-12,Approved 2024,VEN238,5385,North America,10,1153163904,,1,n/a,Annual Validation,2024-02-14,16/04/2024,,,#N/D
PP00028-64,2024-01-12,Approved 2024,VEN238,5391,North America,40,1152763539,,1,n/a,Annual Validation,2024-02-14,10/07/2024,,,#N/D
PP00028-59,2024-01-12,Approved 2024,VEN238,41,North America,40,1160608585,,1,n/a,Annual Validation,2024-02-14,24/07/2024,,,PR2025004
PP00028-63,2024-01-12,Approved 2024,VEN329,5390,North America,20,1139567657,,1,n/a,Annual Validation,2024-02-14,24/07/2024,,,#N/D
PP00028-41,2024-01-12,PSW Pending Approve,VEN329,51,North America,19,1132192015,,1,n/a,Annual Validation,2024-01-30,,,,0
PP00028-43,2024-01-12,PSW Pending Approve,VEN238,5368,North America,10,1173453435,,1,n/a,Annual Validation,2024-01-30,,,,#N/D
PP00028-58,2024-01-12,PSW Pending Approve,VEN329,5387,North America,20,1171171980,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-60,2024-01-12,PSW Pending Approve,VEN238,5388,North America,10,1173453366,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-61,2024-01-12,PSW Pending Approve,VEN329,4015,North America,20,1172779258,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-62,2024-01-12,PSW Pending Approve,VEN238,5389,North America,10,1173444937,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-65,2024-01-12,PSW Pending Approve,VEN025,5393,North America,V0,984817423,,4,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-67,2024-01-12,PSW Pending Approve,VEN025,5395,North America,A0,912298266,,4,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-68,2024-01-12,PSW Pending Approve,VEN238,5397,North America,40,1152754527,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-69,2024-01-12,PSW Pending Approve,VEN238,5398,North America,40,1152750903,,1,n/a,Annual Validation,2024-02-14,,,,#N/D
PP00028-03,2024-01-13,PSW Pending Approve,VEN329,5306,North America,57,1196293250,,1,approved,Annual Validation,2024-01-30,,,,
PP00028-72,2024-01-19,PSW Pending Approve,VEN329,5403,North America,22,1309072701,,4,n/a,Initial Submission,2024-03-13,,,,#N/D
PP00033-02,2024-01-24,Approved 2024,VEN025,134,Europe,A0,1294638633,,1,,Annual Validation,2024-02-15,16/02/2024,,,#N/D
PP00028-70,2024-01-26,Approved 2024,VEN238,42,North America,38,1300849554,,4,requested,Initial Submission,2024-03-13,21/03/2024,,,#N/D
PP00030-12,2024-01-30,Approved 2024,VEN238,4287,Mexico,38,1306693339,,4,requested,Initial Submission,2024-03-11,13/06/2024,,,#N/D
PP00030-13,2024-01-30,Approved 2024,VEN238,4286,Mexico,38,1307236998,,4,requested,Initial Submission,2024-03-11,13/06/2024,,,0
PP00030-10,2024-01-30,Approved 2024,VEN238,4285,Mexico,38,1307226947,,4,n/a,Initial Submission,2024-03-11,21/06/2024,,,#N/D
PP00030-11,2024-01-30,Approved 2024,VEN238,5231,Mexico,38,1307227460,,4,n/a,Initial Submission,2024-03-11,21/06/2024,,,#N/D
PP00042-0022,2024-02-02,Approved 2024,VEN329,3789,Mexico,12,1309592244,,4,approved,Initial Submission,2024-03-15,12/04/2024,,,#N/D
PP00030-05,2024-02-06,Approved 2024,VEN238,4277,Mexico,38,1253010950,,4,requested,Initial Submission,2024-03-11,21/06/2024,,,#N/D
PP00053-01,2024-02-07,Approved 2024,VEN238,3961,Mexico,,1306225177,,4,requested,Initial Submission,2024-03-04,08/03/2024,,,#N/D
PP00053-02,2024-02-07,Approved 2024,VEN238,3958,Mexico,,1308726296,,4,requested,Initial Submission,2024-03-11,15/03/2024,,,#N/D
PP00053-05,2024-02-07,Approved 2024,VEN238,3963,Mexico,,1308726701,,4,requested,Initial Submission,2024-03-11,15/03/2024,,,#N/D
PP00053-07,2024-02-07,Approved 2024,VEN238,3966,Mexico,,1308727395,,4,requested,Initial Submission,2024-03-11,15/03/2024,,,#N/D
PP00053-03,2024-02-07,Approved 2024,VEN238,3960,Mexico,38,1309592682,,4,requested,Initial Submission,2024-03-21,22/03/2024,,,#N/D
PP00053-04,2024-02-07,Approved 2024,VEN238,3962,Mexico,38,1310257208,,4,requested,Initial Submission,2024-03-21,22/03/2024,,,#N/D
PP00053-06,2024-02-07,Approved 2024,VEN238,3965,Mexico,38,1310258846,,4,requested,Initial Submission,2024-03-21,22/03/2024,,,#N/D
